KR4c0044	別本韓文考異-唐-韓愈
KR4c0051	劉賓客文集-唐-劉禹錫
KR4c0045	五百家注昌黎文集-唐-韓愈
KR4c0046	東雅堂昌黎集註-唐-韓愈
KR6k0165	四分律開宗記-唐-懷素
KR4c0043	原本韓集考異-宋-朱熹
KR6n0101	百法論顯幽鈔-宋-從芳
KR3k0008	白孔六帖-唐-白居易
KR3j0185	說孚-明-陶宗儀
KR3j0180	類說-宋-曾慥
KR2k0047	河南通志-清-田文鏡
KR4c0042	韓集擧正-宋-方崧卿
KR3k0030	古今合璧事類備要-宋-謝維新
KR3l0118	太平廣記-宋-李昉
KR3k0023	錦繡萬花谷-宋-闕名
KR3k0060	御定韻府拾遺-清-聖祖玄燁
